# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:39:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-702.71620051	-0.00397004
-702.68286718	-0.00401586
-702.64953385	-0.00401669
-702.61620051	-0.00397474
-702.58286718	-0.00393439
-702.54953385	-0.00387482
-702.51620052	-0.00379329
-702.48286718	-0.00364802
-702.44953385	-0.00353744
-702.41620052	-0.00348522
-702.38286718	-0.00337675
-702.34953385	-0.00331913
-702.31620052	-0.00329638
-702.28286718	-0.00333989
-702.24953385	-0.00326732
-702.21620052	-0.00336362
-702.18286718	-0.00347894
-702.14953385	-0.00362421
-702.11620052	-0.00367700
-702.08286719	-0.00390546
-702.04953385	-0.00397361
-702.01620052	-0.00412636
-701.98286719	-0.00417265
-701.94953385	-0.00435425
-701.91620052	-0.00443512
-701.88286719	-0.00456839
-701.84953385	-0.00462135
-701.81620052	-0.00464471
-701.78286719	-0.00465909
-701.74953385	-0.00462682
-701.71620052	-0.00463768
-701.68286719	-0.00458875
-701.64953386	-0.00451211
-701.61620052	-0.00458054
-701.58286719	-0.00453444
-701.54953386	-0.00451573
-701.51620052	-0.00447453
-701.48286719	-0.00451573
-701.44953386	-0.00449755
-701.41620052	-0.00439533
-701.38286719	-0.00438034
-701.34953386	-0.00435271
-701.31620052	-0.00435292
-701.28286719	-0.00427994
-701.24953386	-0.00433204
-701.21620053	-0.00427894
-701.18286719	-0.00423124
-701.14953386	-0.00420383
-701.11620053	-0.00421497
-701.08286719	-0.00421461
-701.04953386	-0.00419066
-701.01620053	-0.00416251
-700.98286719	-0.00410182
-700.94953386	-0.00400128
-700.91620053	-0.00400224
-700.88286719	-0.00396635
-700.84953386	-0.00382651
-700.81620053	-0.00376714
-700.78286720	-0.00366411
-700.74953386	-0.00352647
-700.71620053	-0.00337754
-700.68286720	-0.00327218
-700.64953386	-0.00306519
-700.61620053	-0.00288639
-700.58286720	-0.00281151
-700.54953386	-0.00264029
-700.51620053	-0.00248888
-700.48286720	-0.00233942
-700.44953387	-0.00221102
-700.41620053	-0.00210798
-700.38286720	-0.00201095
-700.34953387	-0.00199140
-700.31620053	-0.00199736
-700.28286720	-0.00198349
-700.24953387	-0.00203564
-700.21620053	-0.00216464
-700.18286720	-0.00223531
-700.14953387	-0.00234541
-700.11620053	-0.00257984
-700.08286720	-0.00269022
-700.04953387	-0.00280918
-700.01620054	-0.00293001
-699.98286720	-0.00307744
-699.94953387	-0.00306831
-699.91620054	-0.00303105
-699.88286720	-0.00284451
-699.84953387	-0.00268191
-699.81620054	-0.00249027
-699.78286720	-0.00241378
-699.74953387	-0.00234336
-699.71620054	-0.00244207
-699.68286720	-0.00276192
-699.64953387	-0.00336552
-699.61620054	-0.00447040
-699.58286721	-0.00601713
-699.54953387	-0.00797769
-699.51620054	-0.01038349
-699.48286721	-0.01330019
-699.44953387	-0.01656785
-699.41620054	-0.01987939
-699.38286721	-0.02327951
-699.34953387	-0.02624640
-699.31620054	-0.02856364
-699.28286721	-0.02976610
-699.24953387	-0.02975001
-699.21620054	-0.02818385
-699.18286721	-0.02498382
-699.14953388	-0.02032174
-699.11620054	-0.01449260
-699.08286721	-0.00781726
-699.04953388	-0.00102093
-699.01620054	0.00536211
-698.98286721	0.01077493
-698.94953388	0.01486494
-698.91620054	0.01736880
-698.88286721	0.01833737
-698.84953388	0.01785488
-698.81620054	0.01625677
-698.78286721	0.01391675
-698.74953388	0.01106701
-698.71620055	0.00798725
-698.68286721	0.00480437
-698.64953388	0.00197072
-698.61620055	-0.00059532
-698.58286721	-0.00272755
-698.54953388	-0.00419557
-698.51620055	-0.00509494
-698.48286721	-0.00527210
-698.44953388	-0.00504159
-698.41620055	-0.00437542
-698.38286722	-0.00346230
-698.34953388	-0.00236620
-698.31620055	-0.00108306
-698.28286722	0.00040202
-698.24953388	0.00192376
-698.21620055	0.00353631
-698.18286722	0.00504551
-698.14953388	0.00636882
-698.11620055	0.00764146
-698.08286722	0.00872607
-698.04953388	0.00973569
-698.01620055	0.01084966
-697.98286722	0.01196255
-697.94953389	0.01335315
-697.91620055	0.01482420
-697.88286722	0.01658898
-697.84953389	0.01856369
-697.81620055	0.02086381
-697.78286722	0.02347147
-697.74953389	0.02630094
-697.71620055	0.02956893
-697.68286722	0.03308648
-697.64953389	0.03688467
-697.61620055	0.04103299
-697.58286722	0.04542476
-697.54953389	0.05004271
-697.51620056	0.05503301
-697.48286722	0.06032058
-697.44953389	0.06585103
-697.41620056	0.07182771
-697.38286722	0.07806064
-697.34953389	0.08474738
-697.31620056	0.09182402
-697.28286722	0.09936497
-697.24953389	0.10734828
-697.21620056	0.11599016
-697.18286722	0.12513059
-697.14953389	0.13492438
-697.11620056	0.14545876
-697.08286723	0.15670722
-697.04953389	0.16867176
-697.01620056	0.18156526
-696.98286723	0.19530432
-696.94953389	0.21013928
-696.91620056	0.22594942
-696.88286723	0.24295198
-696.84953389	0.26110187
-696.81620056	0.28048782
-696.78286723	0.30100665
-696.74953389	0.32271492
-696.71620056	0.34550913
-696.68286723	0.36906260
-696.64953390	0.39296604
-696.61620056	0.41675343
-696.58286723	0.43936896
-696.54953390	0.45966058
-696.51620056	0.47593726
-696.48286723	0.48578664
-696.44953390	0.48616221
-696.41620056	0.47331084
-696.38286723	0.44238063
-696.34953390	0.38775913
-696.31620057	0.30287474
-696.28286723	0.18057335
-696.24953390	0.01350465
-696.21620057	-0.20558033
-696.18286723	-0.48269972
-696.14953390	-0.82169970
-696.11620057	-1.22323886
-696.08286723	-1.68316735
-696.04953390	-2.19146580
-696.01620057	-2.73007832
-695.98286723	-3.27186866
-695.94953390	-3.77898890
-695.91620057	-4.20510798
-695.88286724	-4.49819639
-695.84953390	-4.60918227
-695.81620057	-4.50049469
-695.78286724	-4.15614579
-695.74953390	-3.58704814
-695.71620057	-2.83262870
-695.68286724	-1.95496202
-695.64953390	-1.02763483
-695.61620057	-0.12307755
-695.58286724	0.69913994
-695.54953390	1.39743139
-695.51620057	1.94991557
-695.48286724	2.34933988
-695.44953391	2.60091162
-695.41620057	2.71706982
-695.38286724	2.71384781
-695.34953391	2.60823624
-695.31620057	2.41785248
-695.28286724	2.16277006
-695.24953391	1.86608134
-695.21620057	1.55353325
-695.18286724	1.24960706
-695.14953391	0.97371400
-695.11620057	0.73618425
-695.08286724	0.53872144
-695.04953391	0.37733850
-695.01620058	0.24717282
-694.98286724	0.14591699
-694.94953391	0.07493632
-694.91620058	0.03583396
-694.88286724	0.02671315
-694.84953391	0.04036360
-694.81620058	0.06482531
-694.78286724	0.08783670
-694.74953391	0.10076903
-694.71620058	0.10053932
-694.68286724	0.08858610
-694.64953391	0.06868423
-694.61620058	0.04438034
-694.58286725	0.01797469
-694.54953391	-0.00890748
-694.51620058	-0.03454906
-694.48286725	-0.05702548
-694.44953391	-0.07433562
-694.41620058	-0.08486118
-694.38286725	-0.08758733
-694.34953391	-0.08251542
-694.31620058	-0.07020792
-694.28286725	-0.05243156
-694.24953392	-0.03151484
-694.21620058	-0.01049141
-694.18286725	0.00816048
-694.14953392	0.02278419
-694.11620058	0.03254774
-694.08286725	0.03712790
-694.04953392	0.03670320
-694.01620058	0.03203993
-693.98286725	0.02444821
-693.94953392	0.01582242
-693.91620058	0.00741009
-693.88286725	-0.00032554
-693.84953392	-0.00716953
-693.81620059	-0.01297997
-693.78286725	-0.01711931
-693.74953392	-0.01894649
-693.71620059	-0.01856338
-693.68286725	-0.01665675
-693.64953392	-0.01432782
-693.61620059	-0.01191905
-693.58286725	-0.00933036
-693.54953392	-0.00634015
-693.51620059	-0.00344572
-693.48286725	-0.00146388
-693.44953392	-0.00065318
-693.41620059	-0.00072456
-693.38286726	-0.00086932
-693.34953392	-0.00076596
-693.31620059	-0.00058451
-693.28286726	-0.00077192
-693.24953392	-0.00161956
-693.21620059	-0.00294003
-693.18286726	-0.00467559
-693.14953392	-0.00694641
-693.11620059	-0.00938839
-693.08286726	-0.01166855
-693.04953392	-0.01277067
-693.01620059	-0.01258378
-692.98286726	-0.01145460
-692.94953393	-0.01071316
-692.91620059	-0.01079862
-692.88286726	-0.01177291
-692.84953393	-0.01305083
-692.81620059	-0.01462879
-692.78286726	-0.01712015
-692.74953393	-0.02097138
-692.71620059	-0.02602584
-692.68286726	-0.03173774
-692.64953393	-0.03700976
-692.61620059	-0.04124726
-692.58286726	-0.04346034
-692.54953393	-0.04293426
-692.51620060	-0.03923183
-692.48286726	-0.03260221
-692.44953393	-0.02363824
-692.41620060	-0.01284426
-692.38286726	-0.00029614
-692.34953393	0.01359940
-692.31620060	0.02810025
-692.28286726	0.04178769
-692.24953393	0.05349878
-692.21620060	0.06201090
-692.18286726	0.06656523
-692.14953393	0.06677353
-692.11620060	0.06262680
-692.08286727	0.05457182
-692.04953393	0.04363285
-692.01620060	0.03085975
-691.98286727	0.01711435
-691.94953393	0.00300793
-691.91620060	-0.01069458
-691.88286727	-0.02305041
-691.84953393	-0.03334484
-691.81620060	-0.04134698
-691.78286727	-0.04732968
-691.74953394	-0.05145481
-691.71620060	-0.05387832
-691.68286727	-0.05523878
-691.64953394	-0.05640397
-691.61620060	-0.05798498
-691.58286727	-0.06009817
-691.54953394	-0.06227567
-691.51620060	-0.06392642
-691.48286727	-0.06500162
-691.44953394	-0.06562349
-691.41620060	-0.06536928
-691.38286727	-0.06402112
-691.34953394	-0.06127813
