# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 2000 waveforms. Timestamp: 2023-11-21T14:28:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.71429218	-16.17163349
1.72161822	-16.33254656
1.72894425	-14.54210579
1.73627029	-14.42092036
1.74359632	-14.24380640
1.75092236	-14.06264023
1.75824839	-14.28282384
1.76557442	-14.27288023
1.77290046	-14.42261441
1.78022649	-14.62310138
1.78755253	-15.08079466
1.79487856	-15.91087018
1.80220460	-16.32715548
1.80953063	-16.48777199
1.81685667	-16.85116458
1.82418270	-17.15189301
1.83150874	-17.37709847
1.83883477	-17.41912892
1.84616081	-17.54730940
1.85348684	-17.47877179
1.86081288	-17.49561336
1.86813891	-18.05951247
1.87546495	-17.62930379
1.88279098	-17.22072907
1.89011702	-17.46581217
1.89744305	-17.63968468
1.90476909	-17.96605446
1.91209512	-18.41222779
1.91942116	-19.20075364
1.92674719	-19.39291062
1.93407323	-19.31673546
1.94139926	-19.73634284
1.94872530	-19.84575743
1.95605133	-20.01750094
1.96337737	-19.90964339
1.97070340	-19.73134227
1.97802944	-19.67390152
1.98535547	-19.50223674
1.99268151	-19.49183958
2.00000754	-19.49527919
2.00733358	-19.49075806
2.01465961	-19.54738105
2.02198565	-19.71780957
2.02931168	-19.95573933
2.03663772	-20.52736480
2.04396375	-20.94214267
2.05128979	-20.93655605
2.05861582	-21.17041056
2.06594186	-21.30040223
2.07326789	-21.52112782
2.08059393	-21.49670743
2.08791996	-21.26667153
2.09524600	-21.22599649
2.10257203	-21.20485943
2.10989807	-21.32817424
2.11722410	-21.24844284
2.12455014	-21.32539692
2.13187617	-21.52624127
2.13920221	-21.87804600
2.14652824	-22.29527824
2.15385428	-22.43972575
2.16118031	-23.46231489
2.16850635	-23.93145857
2.17583238	-23.32652128
2.18315842	-23.46345634
2.19048445	-23.99463282
2.19781049	-24.72468632
2.20513652	-24.21286340
2.21246256	-23.67791953
2.21978859	-24.49564285
2.22711463	-24.45046027
2.23444066	-23.68689795
2.24176670	-23.83006860
2.24909273	-23.87854328
2.25641877	-24.04828435
2.26374480	-25.20102954
2.27107084	-25.12715314
2.27839687	-24.48485692
2.28572291	-24.91738058
2.29304894	-25.22429101
2.30037498	-25.54761337
2.30770101	-25.83608370
2.31502705	-25.84985997
2.32235308	-26.12196581
2.32967912	-26.10166596
2.33700515	-26.19392548
2.34433119	-26.51785980
2.35165722	-26.41699049
2.35898326	-26.21688380
2.36630929	-26.41793306
2.37363533	-26.50046143
2.38096136	-26.44092197
2.38828740	-27.42382503
2.39561343	-28.02882364
2.40293947	-27.38568158
2.41026550	-27.54048252
2.41759154	-27.77461815
2.42491757	-28.03866618
2.43224361	-28.36346763
2.43956964	-28.33982478
2.44689568	-28.46508534
2.45422171	-28.49051548
2.46154775	-29.23150403
2.46887378	-29.19423623
2.47619982	-28.32165431
2.48352585	-28.47179594
2.49085189	-28.49839561
2.49817792	-28.60858073
2.50550396	-28.89740608
2.51282999	-29.08488546
2.52015603	-29.42622199
2.52748206	-29.59463235
2.53480810	-30.03737918
2.54213413	-30.28621345
2.54946017	-30.45182990
2.55678620	-30.56070658
2.56411224	-30.54360376
2.57143827	-30.61346723
2.57876431	-30.40844554
2.58609034	-30.50773499
2.59341638	-30.47003918
2.60074241	-30.43659490
2.60806845	-30.48341215
2.61539448	-30.61172530
2.62272052	-31.14002560
2.63004655	-31.64003861
2.63737259	-33.72705427
2.64469862	-34.71917204
2.65202465	-32.23898511
2.65935069	-31.93414514
2.66667672	-32.47823543
2.67400276	-32.39806930
2.68132879	-32.56504802
2.68865483	-32.66097724
2.69598086	-32.41929333
2.70330690	-32.18065140
2.71063293	-32.03129581
2.71795897	-32.04177514
2.72528500	-32.10686823
2.73261104	-32.21370503
2.73993707	-32.46197226
2.74726311	-32.72062979
2.75458914	-33.16038059
2.76191518	-33.60128032
2.76924121	-35.11048809
2.77656725	-36.83122927
2.78389328	-35.08823327
2.79121932	-34.50689518
2.79854535	-34.62329767
2.80587139	-34.34165562
2.81319742	-34.36011208
2.82052346	-34.03495665
2.82784949	-33.96332599
2.83517553	-33.77398916
2.84250156	-33.62434261
2.84982760	-33.69380556
2.85715363	-33.80683335
2.86447967	-34.19970666
2.87180570	-34.56176839
2.87913174	-35.47189336
2.88645777	-35.94267390
2.89378381	-35.64849062
2.90110984	-35.80190303
2.90843588	-35.88996518
2.91576191	-35.82270865
2.92308795	-35.45184802
2.93041398	-35.20339053
2.93774002	-35.03061528
2.94506605	-34.85489067
2.95239209	-34.83002653
2.95971812	-35.07462062
2.96704416	-36.34592553
2.97437019	-36.86986657
2.98169623	-35.70046232
2.98902226	-35.86149998
2.99634830	-36.50467570
3.00367433	-36.77420334
3.01100037	-38.88413166
3.01832640	-39.45524843
3.02565244	-37.17424167
3.03297847	-36.51540457
3.04030451	-36.73447946
3.04763054	-36.87550264
3.05495658	-36.28017152
3.06228261	-35.88269199
3.06960865	-35.86211503
3.07693468	-35.88509713
3.08426072	-36.27609137
3.09158675	-36.60882829
3.09891279	-36.83958811
3.10623882	-36.97702966
3.11356486	-37.28471000
3.12089089	-37.50412653
3.12821693	-37.97938182
3.13554296	-39.06352818
3.14286900	-38.50324470
3.15019503	-37.65697829
3.15752107	-37.65826407
3.16484710	-38.27607555
3.17217314	-38.27747230
3.17949917	-37.26595255
3.18682521	-37.20081362
3.19415124	-37.24894061
3.20147728	-37.08984335
3.20880331	-37.31195490
3.21612935	-37.23722003
3.22345538	-37.43916925
3.23078142	-37.94519997
3.23810745	-38.04114500
3.24543349	-38.10556874
3.25275952	-38.42488089
3.26008556	-38.64444432
3.26741159	-38.63103396
3.27473763	-38.75299549
3.28206366	-38.71350786
3.28938970	-38.54221801
3.29671573	-38.49832948
3.30404177	-38.42809972
3.31136780	-38.39368337
3.31869384	-38.17708572
3.32601987	-38.72010033
3.33334591	-39.74732723
3.34067194	-38.97045244
3.34799798	-38.70980288
3.35532401	-39.37971643
3.36265005	-39.64022423
3.36997608	-40.27798204
3.37730212	-40.53855242
3.38462815	-40.55371074
3.39195419	-40.73801618
3.39928022	-40.46546492
3.40660626	-40.39702096
3.41393229	-40.21918633
3.42125833	-39.99221449
3.42858436	-39.97947604
3.43591040	-40.11384239
3.44323643	-40.32520071
3.45056247	-40.37650534
3.45788850	-40.70207788
3.46521454	-41.12611484
3.47254057	-41.53489895
3.47986661	-42.04738015
3.48719264	-42.21720621
3.49451868	-42.54532469
3.50184471	-42.56236254
3.50917075	-42.38856613
3.51649678	-42.61724716
3.52382281	-42.61913008
3.53114885	-42.79493381
3.53847488	-42.97327454
3.54580092	-42.59912305
3.55312695	-42.29052329
3.56045299	-42.60739067
3.56777902	-42.90840971
3.57510506	-43.23374682
3.58243109	-43.93166875
3.58975713	-44.31127959
3.59708316	-46.35110529
3.60440920	-46.70816096
3.61173523	-45.15391824
3.61906127	-46.05503119
3.62638730	-45.91637117
3.63371334	-46.47418021
3.64103937	-46.86481611
3.64836541	-48.41671586
3.65569144	-52.19238027
3.66301748	-45.15310375
