# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:39:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.71428573	-19.26616254
1.72161174	-20.26567332
1.72893774	-19.32748183
1.73626375	-19.22382280
1.74358976	-18.64995583
1.75091577	-17.57850847
1.75824177	-16.54993171
1.76556778	-15.16650519
1.77289379	-14.47696730
1.78021979	-15.10668144
1.78754580	-16.86869494
1.79487181	-18.99921151
1.80219782	-20.41146796
1.80952382	-21.26572304
1.81684983	-21.76971077
1.82417584	-21.88143643
1.83150185	-21.44401828
1.83882785	-20.50288192
1.84615386	-19.35919822
1.85347987	-18.08160348
1.86080588	-17.83442858
1.86813188	-18.96775265
1.87545789	-20.12948654
1.88278390	-20.91464881
1.89010991	-21.97959515
1.89743591	-22.57647259
1.90476192	-22.82959182
1.91208793	-22.90968419
1.91941393	-22.68652218
1.92673994	-21.89785563
1.93406595	-20.71290249
1.94139196	-20.22764190
1.94871796	-20.78950891
1.95604397	-22.05327151
1.96336998	-23.22941051
1.97069599	-23.92278121
1.97802199	-24.44575410
1.98534800	-24.49794260
1.99267401	-24.26719418
2.00000002	-23.73972068
2.00732602	-22.75872973
2.01465203	-21.59661690
2.02197804	-20.54144612
2.02930405	-20.50777997
2.03663005	-21.86619814
2.04395606	-23.59328925
2.05128207	-24.75193858
2.05860808	-25.75914827
2.06593408	-26.28422987
2.07326009	-26.40364532
2.08058610	-26.08264890
2.08791210	-25.14983074
2.09523811	-24.01404589
2.10256412	-22.78073272
2.10989013	-21.97342691
2.11721613	-22.18835695
2.12454214	-23.36169518
2.13186815	-24.86719507
2.13919416	-26.24827884
2.14652016	-27.16055189
2.15384617	-27.59702783
2.16117218	-28.14322418
2.16849819	-27.96718015
2.17582419	-26.80324202
2.18315020	-25.72719974
2.19047621	-25.18425327
2.19780222	-25.27079393
2.20512822	-25.67096082
2.21245423	-26.51873207
2.21978024	-28.15312872
2.22710625	-28.92442485
2.23443225	-28.69059346
2.24175826	-29.02624336
2.24908427	-28.67588945
2.25641027	-28.11597916
2.26373628	-27.95773993
2.27106229	-26.71713952
2.27838830	-25.60932666
2.28571430	-26.06472095
2.29304031	-27.64968640
2.30036632	-29.17810810
2.30769233	-30.33144239
2.31501833	-30.98716453
2.32234434	-31.30857781
2.32967035	-31.31174649
2.33699636	-30.74564081
2.34432236	-30.19866310
2.35164837	-29.04288164
2.35897438	-27.73936738
2.36630039	-27.49185996
2.37362639	-28.21987577
2.38095240	-29.59045467
2.38827841	-31.45840958
2.39560441	-32.57271712
2.40293042	-32.66527727
2.41025643	-32.87392742
2.41758244	-32.83190742
2.42490844	-32.37804208
2.43223445	-31.71429493
2.43956046	-30.66873190
2.44688647	-29.79636351
2.45421247	-30.11592037
2.46153848	-31.65484378
2.46886449	-32.72727974
2.47619050	-33.01589522
2.48351650	-33.72752021
2.49084251	-34.06645031
2.49816852	-33.98869020
2.50549453	-33.82205283
2.51282053	-33.23608945
2.52014654	-32.42136492
2.52747255	-31.61105090
2.53479856	-31.55857278
2.54212456	-32.62450069
2.54945057	-33.97148399
2.55677658	-35.00033433
2.56410258	-35.84438753
2.57142859	-36.09945052
2.57875460	-36.11415723
2.58608061	-35.80247306
2.59340661	-35.15780036
2.60073262	-34.24298712
2.60805863	-33.01206462
2.61538464	-32.45412480
2.62271064	-32.99982984
2.63003665	-34.66368315
2.63736266	-37.68339974
2.64468867	-38.97797829
2.65201467	-37.54271737
2.65934068	-37.71335169
2.66666669	-38.17212423
2.67399270	-37.67731353
2.68131870	-37.12444130
2.68864471	-36.14237804
2.69597072	-35.00877129
2.70329673	-34.37740792
2.71062273	-34.79114153
2.71794874	-36.08526170
2.72527475	-37.16796449
2.73260075	-38.01087224
2.73992676	-38.57881785
2.74725277	-38.79961576
2.75457878	-38.97222654
2.76190478	-38.57477094
2.76923079	-39.14888398
2.77655680	-39.56377489
2.78388281	-37.73844768
2.79120881	-37.30190628
2.79853482	-38.48011738
2.80586083	-39.33410044
2.81318684	-39.98717068
2.82051284	-40.34128209
2.82783885	-40.21566143
2.83516486	-40.11398863
2.84249087	-39.40533364
2.84981687	-38.68721469
2.85714288	-37.94061373
2.86446889	-37.17504435
2.87179489	-37.44653716
2.87912090	-38.98951249
2.88644691	-40.63121869
2.89377292	-41.36538075
2.90109892	-42.04885864
2.90842493	-42.57222332
2.91575094	-42.33920504
2.92307695	-41.79249240
2.93040295	-40.85535848
2.93772896	-39.79375185
2.94505497	-38.61416578
2.95238098	-37.63022318
2.95970698	-38.08615839
2.96703299	-40.31666254
2.97435900	-41.82741036
2.98168501	-41.65422489
2.98901101	-42.47377729
2.99633702	-43.07205652
3.00366303	-43.09931462
3.01098904	-44.31068022
3.01831504	-44.09540816
3.02564105	-41.51922639
3.03296706	-39.94506327
3.04029306	-39.71371811
3.04761907	-40.21315096
3.05494508	-40.75097249
3.06227109	-41.25479031
3.06959709	-41.91714577
3.07692310	-42.35337195
3.08424911	-42.72482029
3.09157512	-43.02975737
3.09890112	-42.54298108
3.10622713	-41.96990995
3.11355314	-41.34686085
3.12087915	-40.68099661
3.12820515	-41.17925511
3.13553116	-42.66248810
3.14285717	-43.18577398
3.15018318	-43.21621800
3.15750918	-43.79455585
3.16483519	-44.28572384
3.17216120	-44.03271333
3.17948721	-43.04621861
3.18681321	-42.21558258
3.19413922	-41.47678381
3.20146523	-40.54451722
3.20879123	-40.13165508
3.21611724	-40.63742817
3.22344325	-41.83618162
3.23076926	-43.16785848
3.23809526	-43.94687581
3.24542127	-44.31367442
3.25274728	-44.66985521
3.26007329	-44.56678235
3.26739929	-43.96839812
3.27472530	-43.22871260
3.28205131	-42.17586006
3.28937732	-41.19628614
3.29670332	-41.15004864
3.30402933	-42.23946206
3.31135534	-43.38411815
3.31868135	-43.78122617
3.32600735	-44.73838574
3.33333336	-45.63473072
3.34065937	-44.89249428
3.34798537	-44.41471875
3.35531138	-44.17634253
3.36263739	-43.56224888
3.36996340	-43.13658544
3.37728940	-42.93037606
3.38461541	-43.46751711
3.39194142	-44.91554700
3.39926743	-45.92081827
3.40659343	-46.37697661
3.41391944	-46.59454843
3.42124545	-46.16897131
3.42857146	-45.77445095
3.43589746	-45.29269119
3.44322347	-44.55919898
3.45054948	-43.60724737
3.45787549	-42.99924526
3.46520149	-43.49807553
3.47252750	-45.03189940
3.47985351	-46.86551238
3.48717952	-48.13531872
3.49450552	-48.68792335
3.50183153	-48.80866304
3.50915754	-48.36120139
3.51648354	-47.94031378
3.52380955	-47.08306666
3.53113556	-45.97206300
3.53846157	-45.19519900
3.54578757	-44.52405816
3.55311358	-44.89569959
3.56043959	-46.70554673
3.56776560	-48.32457216
3.57509160	-49.52474419
3.58241761	-50.28212732
3.58974362	-50.33353292
3.59706963	-51.72533774
3.60439563	-51.15645335
3.61172164	-49.45195173
3.61904765	-48.50594844
3.62637366	-47.74437535
3.63369966	-48.06076997
3.64102567	-49.36198033
3.64835168	-52.64210642
3.65567769	-59.13412339
3.66300369	-52.42113220
3.67032970	-50.44331048
3.67765571	-51.46203425
3.68498171	-51.06632468
3.69230772	-50.49777937
3.69963373	-49.98478723
3.70695974	-49.11049384
3.71428574	-49.12124546
3.72161175	-50.37932290
3.72893776	-52.94346569
3.73626377	-55.16832457
3.74358977	-55.93859968
3.75091578	-56.21733888
3.75824179	-55.24315076
3.76556780	-54.87803089
3.77289380	-53.79724564
3.78021981	-52.67290492
3.78754582	-51.63696515
3.79487183	-50.81274645
3.80219783	-53.09571681
3.80952384	-61.00092633
3.81684985	-56.95874757
3.82417585	-55.93890665
3.83150186	-59.57183695
3.83882787	-59.26739730
3.84615388	-59.22219982
3.85347988	-58.52239100
3.86080589	-56.90382462
3.86813190	-55.55899328
3.87545791	-53.56149662
3.88278391	-52.49851971
3.89010992	-52.79234420
3.89743593	-54.30123746
3.90476194	-56.88070789
3.91208794	-59.83658308
3.91941395	-62.96359512
3.92673996	-64.80030288
3.93406597	-65.42088957
