# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:12:00
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.71428573	-22.02411302
1.72161174	-22.00984077
1.72893774	-20.69767824
1.73626375	-20.17464431
1.74358976	-20.03648127
1.75091577	-20.05836385
1.75824177	-20.40249394
1.76556778	-20.51516104
1.77289379	-20.32284439
1.78021979	-20.34779721
1.78754580	-20.83866589
1.79487181	-21.85698136
1.80219782	-22.83444896
1.80952382	-23.14565438
1.81684983	-23.29377775
1.82417584	-23.44758079
1.83150185	-23.57478793
1.83882785	-24.03372891
1.84615386	-24.46189166
1.85347987	-24.33240621
1.86080588	-24.12051319
1.86813188	-23.97048162
1.87545789	-23.69800754
1.88278390	-23.74622007
1.89010991	-24.34842412
1.89743591	-24.79529693
1.90476192	-24.78094734
1.91208793	-25.08138004
1.91941393	-25.83170928
1.92673994	-26.56694882
1.93406595	-27.21722025
1.94139196	-27.64809755
1.94871796	-27.63465174
1.95604397	-27.37833754
1.96336998	-27.14400426
1.97069599	-27.20428390
1.97802199	-27.35917326
1.98534800	-27.13574477
1.99267401	-26.72033836
2.00000002	-26.39304747
2.00732602	-26.37618155
2.01465203	-26.86448335
2.02197804	-27.49159878
2.02930405	-27.92583827
2.03663005	-28.28875566
2.04395606	-28.43810576
2.05128207	-28.72059357
2.05860808	-29.49013650
2.06593408	-30.04277870
2.07326009	-29.99724044
2.08058610	-29.47508608
2.08791210	-28.76545234
2.09523811	-28.70098364
2.10256412	-29.26045086
2.10989013	-29.65990584
2.11721613	-29.55505174
2.12454214	-29.07034528
2.13186815	-29.00687996
2.13919416	-29.88311425
2.14652016	-30.89921261
2.15384617	-31.62175482
2.16117218	-32.47465867
2.16849819	-32.32764728
2.17582419	-31.67411557
2.18315020	-32.02179406
2.19047621	-33.32244678
2.19780222	-34.35449052
2.20512822	-33.29756627
2.21245423	-32.11504280
2.21978024	-32.44711749
2.22710625	-32.92354505
2.23443225	-32.69493764
2.24175826	-32.85714065
2.24908427	-32.46211763
2.25641027	-31.95803363
2.26373628	-32.76534619
2.27106229	-33.54555063
2.27838830	-33.27380388
2.28571430	-33.46288094
2.29304031	-33.50307573
2.30036632	-33.23561677
2.30769233	-33.65000651
2.31501833	-34.27739537
2.32234434	-34.75947069
2.32967035	-34.72296087
2.33699636	-33.98015287
2.34432236	-33.84147840
2.35164837	-34.14856350
2.35897438	-34.16235193
2.36630039	-34.28002572
2.37362639	-33.80275687
2.38095240	-33.09579142
2.38827841	-33.67904325
2.39560441	-34.97258538
2.40293042	-35.23859299
2.41025643	-35.09816559
2.41758244	-34.89091274
2.42490844	-34.65407782
2.43223445	-35.12561816
2.43956046	-35.85598799
2.44688647	-35.89115837
2.45421247	-35.70422238
2.46153848	-35.60576805
2.46886449	-35.39301767
2.47619050	-35.27349060
2.48351650	-35.48412147
2.49084251	-35.60101692
2.49816852	-35.22614856
2.50549453	-35.06611722
2.51282053	-35.57383283
2.52014654	-36.22728175
2.52747255	-36.60959664
2.53479856	-36.78943506
2.54212456	-36.78875373
2.54945057	-37.02426181
2.55677658	-37.63367758
2.56410258	-38.04117762
2.57142859	-37.92170137
2.57875460	-37.47992157
2.58608061	-37.33759687
2.59340661	-37.87849593
2.60073262	-38.39091399
2.60805863	-38.38588651
2.61538464	-38.49504717
2.62271064	-38.78563674
2.63003665	-39.77364783
2.63736266	-42.66421457
2.64468867	-44.76218766
2.65201467	-42.52725380
2.65934068	-42.05424787
2.66666669	-43.29367546
2.67399270	-43.89703717
2.68131870	-44.27937615
2.68864471	-44.86826388
2.69597072	-44.53490833
2.70329673	-44.31728224
2.71062273	-44.58569979
2.71794874	-44.90458716
2.72527475	-45.44234073
2.73260075	-45.64636014
2.73992676	-45.69874977
2.74725277	-46.56589102
2.75457878	-47.41233890
2.76190478	-47.95292395
2.76923079	-50.24405707
2.77655680	-53.39873364
2.78388281	-51.71362071
2.79120881	-50.75008121
2.79853482	-51.35395045
2.80586083	-51.17404251
2.81318684	-50.69861358
2.82051284	-50.47606497
2.82783885	-50.06627134
2.83516486	-49.84189529
2.84249087	-49.55227958
2.84981687	-48.95688511
2.85714288	-48.80417874
2.86446889	-49.18011632
2.87179489	-49.81644795
2.87912090	-51.01926702
2.88644691	-52.19444658
2.89377292	-52.25451539
2.90109892	-52.34265305
2.90842493	-52.68914758
2.91575094	-52.64498168
2.92307695	-52.31196967
2.93040295	-51.37291345
2.93772896	-50.54283699
2.94505497	-50.26598863
2.95238098	-49.85918721
2.95970698	-49.98024503
2.96703299	-51.38028399
2.97435900	-52.28942950
2.98168501	-51.99093696
2.98901101	-52.63280712
2.99633702	-53.66305746
3.00366303	-54.54004921
3.01098904	-56.98819373
3.01831504	-58.30705186
3.02564105	-56.08739135
3.03296706	-55.49705217
3.04029306	-56.10282916
3.04761907	-56.40003159
3.05494508	-56.43385204
3.06227109	-56.49578059
3.06959709	-56.98242014
3.07692310	-58.16952953
3.08424911	-59.94190408
3.09157512	-62.17650263
3.09890112	-64.08410189
3.10622713	-65.42655756
3.11355314	-67.43416975
3.12087915	-69.42467816
3.12820515	-71.58832049
3.13553116	-75.29991307
3.14285717	-75.41080678
3.15018318	-69.04456796
3.15750918	-65.79354217
3.16483519	-65.67015108
3.17216120	-65.48662761
3.17948721	-63.54812628
3.18681321	-62.36825449
3.19413922	-61.68247485
3.20146523	-61.08111909
3.20879123	-61.18301040
3.21611724	-61.71577870
3.22344325	-61.99800647
3.23076926	-62.16994913
3.23809526	-62.39506988
3.24542127	-62.83053777
3.25274728	-63.60913674
3.26007329	-64.35231943
3.26739929	-64.23724423
3.27472530	-63.38980492
3.28205131	-62.74848481
3.28937732	-62.06501983
3.29670332	-61.35987340
3.30402933	-61.48125307
3.31135534	-62.06079326
3.31868135	-62.23768297
3.32600735	-62.53619328
3.33333336	-62.95653821
3.34065937	-63.06596524
3.34798537	-63.54801374
3.35531138	-64.20157139
3.36263739	-64.53954932
3.36996340	-65.52511071
3.37728940	-66.58999023
3.38461541	-66.52603284
3.39194142	-66.57854402
3.39926743	-66.58676706
3.40659343	-66.09853930
3.41391944	-66.20684894
3.42124545	-66.81184121
3.42857146	-66.76307051
3.43589746	-66.59959390
3.44322347	-66.95684628
3.45054948	-67.28523028
3.45787549	-67.31161675
3.46520149	-67.08637976
3.47252750	-66.96497096
3.47985351	-67.45689776
3.48717952	-67.47846416
3.49450552	-66.65497513
3.50183153	-66.51462435
3.50915754	-66.39510101
3.51648354	-65.68306427
3.52380955	-65.63268318
3.53113556	-65.64953344
3.53846157	-64.81093522
3.54578757	-64.54912422
3.55311358	-64.88495630
3.56043959	-64.76475914
3.56776560	-65.14529837
3.57509160	-66.29774555
3.58241761	-66.52190336
3.58974362	-66.52446413
3.59706963	-67.15897729
3.60439563	-67.02988610
3.61172164	-66.85681344
3.61904765	-67.24159368
3.62637366	-66.71945659
3.63369966	-66.14621002
3.64102567	-66.40951631
3.64835168	-66.83648693
3.65567769	-66.81362413
3.66300369	-66.40436370
3.67032970	-66.64687268
3.67765571	-67.78447035
3.68498171	-68.36392206
3.69230772	-68.94436239
3.69963373	-69.80584490
3.70695974	-69.25674700
3.71428574	-69.57278572
3.72161175	-70.55428900
3.72893776	-69.72249663
3.73626377	-69.19509137
3.74358977	-68.83902862
3.75091578	-68.13355892
3.75824179	-68.38368718
3.76556780	-68.16867290
3.77289380	-67.26129638
3.78021981	-67.36900403
3.78754582	-67.74470742
3.79487183	-68.29091113
3.80219783	-69.42550516
3.80952384	-69.44903139
3.81684985	-69.47905471
3.82417585	-70.33417697
3.83150186	-69.60544601
3.83882787	-69.69535955
3.84615388	-71.33975944
3.85347988	-71.15616626
3.86080589	-71.06718257
3.86813190	-71.46593239
3.87545791	-71.05931351
3.88278391	-71.22811754
3.89010992	-70.57540531
3.89743593	-70.13744913
3.90476194	-70.55070665
3.91208794	-69.16636582
3.91941395	-68.86423918
3.92673996	-71.05275564
3.93406597	-71.06996903
3.94139197	-69.76679975
3.94871798	-71.12276337
3.95604399	-72.76209103
3.96337000	-73.26644007
3.97069600	-74.33002180
3.97802201	-72.95240297
3.98534802	-72.49368328
3.99267402	-74.09657046
4.00000003	-74.31261391
4.00732604	-73.33667214
4.01465205	-72.76125725
4.02197805	-72.11376198
4.02930406	-72.08564430
4.03663007	-71.96295879
4.04395608	-71.08817657
4.05128208	-71.60470202
4.05860809	-73.77414081
4.06593410	-73.79594110
4.07326011	-73.50329798
4.08058611	-75.26767346
4.08791212	-75.61196508
4.09523813	-75.63482581
4.10256414	-77.95885557
4.10989014	-76.65690406
4.11721615	-74.51755526
4.12454216	-74.49109939
4.13186817	-73.41819517
4.13919417	-72.41974589
4.14652018	-72.91242336
4.15384619	-73.79842079
4.16117219	-74.17473892
4.16849820	-74.26007088
4.17582421	-75.37446044
4.18315022	-77.34358188
4.19047622	-76.23287713
4.19780223	-75.52887823
4.20512824	-75.20038971
4.21245425	-73.85803050
4.21978025	-75.43838858
4.22710626	-79.58448640
4.23443227	-77.27917814
4.24175828	-76.55843853
4.24908428	-77.79462682
4.25641029	-76.24624511
4.26373630	-75.49304963
4.27106231	-75.80027086
4.27838831	-74.63747962
4.28571432	-74.21761346
4.29304033	-75.87312542
4.30036634	-78.16256704
4.30769234	-78.56503741
4.31501835	-79.85503773
4.32234436	-84.15408239
4.32967036	-81.46428445
4.33699637	-78.15172408
4.34432238	-77.34182678
4.35164839	-77.39705335
4.35897439	-79.02072860
4.36630040	-82.56529984
4.37362641	-84.95940734
4.38095242	-83.08004725
4.38827842	-79.13889601
4.39560443	-76.86968315
4.40293044	-77.12377948
4.41025645	-78.14792286
4.41758245	-77.12043257
4.42490846	-78.24314140
4.43223447	-81.44366603
4.43956048	-78.16103824
4.44688648	-77.65552323
4.45421249	-81.64847814
4.46153850	-84.74115740
4.46886450	-83.67057199
4.47619051	-85.63963202
4.48351652	-86.32517534
4.49084253	-84.96717121
4.49816853	-83.57231898
4.50549454	-81.44263877
4.51282055	-81.72951731
4.52014656	-80.03177223
4.52747256	-77.90116117
4.53479857	-80.63495758
4.54212458	-83.11329726
4.54945059	-79.47894185
4.55677659	-81.89761113
4.56410260	-89.35353892
4.57142861	-90.06705690
4.57875462	-88.44369847
4.58608062	-84.05815102
4.59340663	-82.49580401
4.60073264	-83.55653479
4.60805865	-83.11102800
4.61538465	-82.23225014
4.62271066	-85.29908760
4.63003667	-84.52690974
4.63736267	-81.44400981
4.64468868	-83.19306314
4.65201469	-94.19188959
4.65934070	-84.86121586
4.66666670	-81.08516432
4.67399271	-84.92520944
4.68131872	-85.91456261
4.68864473	-81.25978138
4.69597073	-84.76037598
4.70329674	-88.91948651
4.71062275	-83.26370209
4.71794876	-83.63751386
4.72527476	-91.73789998
4.73260077	-83.54960598
4.73992678	-81.43689273
4.74725279	-84.55052015
4.75457879	-83.43504506
4.76190480	-84.24322337
4.76923081	-92.02469565
4.77655682	-89.20941059
4.78388282	-86.50113111
4.79120883	-87.83703864
4.79853484	-91.03682539
4.80586084	-102.18630689
4.81318685	-91.65638509
4.82051286	-89.67244300
4.82783887	-84.97611501
4.83516487	-81.75709020
4.84249088	-82.33022964
4.84981689	-80.11315831
4.85714290	-80.33628314
4.86446890	-86.05124282
4.87179491	-84.30174477
4.87912092	-89.90872120
4.88644693	-89.72113853
4.89377293	-83.83384448
4.90109894	-82.95678730
4.90842495	-86.37097754
4.91575096	-91.49052270
4.92307696	-80.87219489
4.93040297	-81.03099428
4.93772898	-85.45726400
4.94505498	-89.18292507
4.95238099	-91.75117858
4.95970700	-87.50237321
4.96703301	-86.07996371
4.97435901	-89.70365225
4.98168502	-92.90430130
4.98901103	-92.34112719
4.99633704	-92.65239212
5.00366304	-94.60261355
5.01098905	-89.43605603
5.01831506	-86.35482659
5.02564107	-89.98808738
5.03296707	-99.82592388
5.04029308	-87.94428525
5.04761909	-89.89651867
5.05494510	-103.24275100
5.06227110	-91.66130746
5.06959711	-94.90196067
5.07692312	-92.34458297
5.08424913	-83.47322125
5.09157513	-83.82610810
5.09890114	-97.30060511
5.10622715	-89.21809370
5.11355315	-89.44262558
5.12087916	-94.40029352
5.12820517	-95.69668543
5.13553118	-101.28016367
5.14285718	-91.08730493
5.15018319	-94.35848967
5.15750920	-91.42056724
5.16483521	-89.89213327
5.17216121	-90.42021349
5.17948722	-87.64435459
5.18681323	-99.79919982
5.19413924	-87.02125651
5.20146524	-84.98669033
5.20879125	-94.51408638
5.21611726	-87.75076182
5.22344327	-90.64999559
5.23076927	-101.59505481
5.23809528	-92.91839865
5.24542129	-92.45649714
5.25274730	-94.05144086
5.26007330	-93.78997991
5.26739931	-96.52224421
5.27472532	-86.29532908
5.28205132	-88.88796126
5.28937733	-89.62679440
5.29670334	-82.88375209
5.30402935	-88.63845037
5.31135535	-90.38599031
5.31868136	-94.67840138
5.32600737	-92.28135416
