# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -699.10000000 ps, Average over 1000 waveforms. Timestamp: 2023-10-24T15:37:11
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-691.38289076	0.00878772
-691.34955752	0.00915307
-691.31622429	0.00955748
-691.28289105	0.00977521
-691.24955781	0.00991204
-691.21622457	0.00999238
-691.18289134	0.00974461
-691.14955810	0.00950487
-691.11622486	0.00920756
-691.08289162	0.00891130
-691.04955839	0.00853255
-691.01622515	0.00828854
-690.98289191	0.00791845
-690.94955868	0.00762495
-690.91622544	0.00733921
-690.88289220	0.00698857
-690.84955896	0.00688026
-690.81622573	0.00698491
-690.78289249	0.00718228
-690.74955925	0.00724480
-690.71622601	0.00754724
-690.68289278	0.00773800
-690.64955954	0.00828316
-690.61622630	0.00875754
-690.58289307	0.00932473
-690.54955983	0.00985170
-690.51622659	0.01033981
-690.48289335	0.01087720
-690.44956012	0.01128978
-690.41622688	0.01157119
-690.38289364	0.01185074
-690.34956040	0.01194905
-690.31622717	0.01192045
-690.28289393	0.01184710
-690.24956069	0.01166913
-690.21622746	0.01132829
-690.18289422	0.01087166
-690.14956098	0.01050422
-690.11622774	0.01012273
-690.08289451	0.00972005
-690.04956127	0.00941750
-690.01622803	0.00926869
-689.98289479	0.00912647
-689.94956156	0.00889185
-689.91622832	0.00872485
-689.88289508	0.00834566
-689.84956185	0.00783965
-689.81622861	0.00737365
-689.78289537	0.00677771
-689.74956213	0.00577433
-689.71622890	0.00463346
-689.68289566	0.00340593
-689.64956242	0.00189799
-689.61622918	0.00027420
-689.58289595	-0.00168417
-689.54956271	-0.00361515
-689.51622947	-0.00568291
-689.48289624	-0.00750647
-689.44956300	-0.00928319
-689.41622976	-0.01083112
-689.38289652	-0.01186870
-689.34956329	-0.01253098
-689.31623005	-0.01219011
-689.28289681	-0.01114776
-689.24956357	-0.00898827
-689.21623034	-0.00589946
-689.18289710	-0.00224325
-689.14956386	0.00217369
-689.11623063	0.00699617
-689.08289739	0.01184039
-689.04956415	0.01611625
-689.01623091	0.01999829
-688.98289768	0.02295245
-688.94956444	0.02503514
-688.91623120	0.02617228
-688.88289796	0.02646447
-688.84956473	0.02563563
-688.81623149	0.02419372
-688.78289825	0.02257037
-688.74956501	0.02033359
-688.71623178	0.01842025
-688.68289854	0.01654052
-688.64956530	0.01517368
-688.61623207	0.01395540
-688.58289883	0.01316690
-688.54956559	0.01290019
-688.51623235	0.01289177
-688.48289912	0.01291257
-688.44956588	0.01335466
-688.41623264	0.01414521
-688.38289940	0.01501193
-688.34956617	0.01598608
-688.31623293	0.01731158
-688.28289969	0.01866802
-688.24956646	0.01997032
-688.21623322	0.02154658
-688.18289998	0.02294249
-688.14956674	0.02438729
-688.11623351	0.02590198
-688.08290027	0.02753775
-688.04956703	0.02917009
-688.01623379	0.03112314
-687.98290056	0.03327884
-687.94956732	0.03564275
-687.91623408	0.03836551
-687.88290085	0.04137440
-687.84956761	0.04506388
-687.81623437	0.04899533
-687.78290113	0.05366586
-687.74956790	0.05907897
-687.71623466	0.06495044
-687.68290142	0.07135193
-687.64956818	0.07847277
-687.61623495	0.08569323
-687.58290171	0.09325056
-687.54956847	0.10103265
-687.51623524	0.10888244
-687.48290200	0.11697477
-687.44956876	0.12517701
-687.41623552	0.13370584
-687.38290229	0.14253153
-687.34956905	0.15195264
-687.31623581	0.16200167
-687.28290257	0.17299813
-687.24956934	0.18510454
-687.21623610	0.19873871
-687.18290286	0.21384584
-687.14956963	0.23076569
-687.11623639	0.24967061
-687.08290315	0.27025484
-687.04956991	0.29252109
-687.01623668	0.31654796
-686.98290344	0.34205919
-686.94957020	0.36909056
-686.91623696	0.39720436
-686.88290373	0.42607376
-686.84957049	0.45559699
-686.81623725	0.48504681
-686.78290402	0.51370097
-686.74957078	0.54041893
-686.71623754	0.56346698
-686.68290430	0.58121749
-686.64957107	0.59118677
-686.61623783	0.59087501
-686.58290459	0.57711004
-686.54957135	0.54670985
-686.51623812	0.49613508
-686.48290488	0.42240709
-686.44957164	0.32236085
-686.41623841	0.19295157
-686.38290517	0.03245995
-686.34957193	-0.16037234
-686.31623869	-0.38682471
-686.28290546	-0.64699904
-686.24957222	-0.94108188
-686.21623898	-1.26777464
-686.18290574	-1.62547033
-686.14957251	-2.01015494
-686.11623927	-2.41517033
-686.08290603	-2.82964228
-686.04957280	-3.23776544
-686.01623956	-3.61822645
-685.98290632	-3.94376274
-685.94957308	-4.18384010
-685.91623985	-4.30678036
-685.88290661	-4.28436013
-685.84957337	-4.09804414
-685.81624013	-3.74245785
-685.78290690	-3.22894095
-685.74957366	-2.58499060
-685.71624042	-1.85027532
-685.68290719	-1.07184331
-685.64957395	-0.29509985
-685.61624071	0.43948012
-685.58290747	1.10022054
-685.54957424	1.66446400
-685.51624100	2.11739675
-685.48290776	2.45112806
-685.44957452	2.66397406
-685.41624129	2.76066987
-685.38290805	2.75205820
-685.34957481	2.65464460
-685.31624158	2.48884856
-685.28290834	2.27600754
-685.24957510	2.03556458
-685.21624186	1.78283644
-685.18290863	1.52950615
-685.14957539	1.28251577
-685.11624215	1.04663781
-685.08290891	0.82673445
-685.04957568	0.62804379
-685.01624244	0.45611680
-684.98290920	0.31505578
-684.94957597	0.20600794
-684.91624273	0.12684872
-684.88290949	0.07223218
-684.84957625	0.03519321
-684.81624302	0.00903099
-684.78290978	-0.01203684
-684.74957654	-0.03240554
-684.71624330	-0.05511149
-684.68291007	-0.08168750
-684.64957683	-0.11247353
-684.61624359	-0.14676556
-684.58291036	-0.18265431
-684.54957712	-0.21669521
-684.51624388	-0.24440649
-684.48291064	-0.26053690
-684.44957741	-0.25914146
-684.41624417	-0.23431801
-684.38291093	-0.18188187
-684.34957769	-0.10110191
-684.31624446	0.00496791
-684.28291122	0.12957069
-684.24957798	0.26189800
-684.21624474	0.38994017
-684.18291151	0.50097101
-684.14957827	0.58469341
-684.11624503	0.63236309
-684.08291180	0.63875788
-684.04957856	0.60155241
-684.01624532	0.52106976
-683.98291208	0.40058871
-683.94957885	0.24611347
-683.91624561	0.06769562
-683.88291237	-0.12053721
-683.84957913	-0.30113848
-683.81624590	-0.45567614
-683.78291266	-0.56861958
-683.74957942	-0.62998892
-683.71624619	-0.63730777
-683.68291295	-0.59526936
-683.64957971	-0.51392635
-683.61624647	-0.40536983
-683.58291324	-0.28274394
-683.54958000	-0.15763525
-683.51624676	-0.03973200
-683.48291352	0.06438360
-683.44958029	0.15020758
-683.41624705	0.21571014
-683.38291381	0.25981203
-683.34958058	0.28294400
-683.31624734	0.28646977
-683.28291410	0.27267727
-683.24958086	0.24508028
-683.21624763	0.20783402
-683.18291439	0.16492269
-683.14958115	0.11890053
-683.11624791	0.07138471
-683.08291468	0.02288236
-683.04958144	-0.02561991
-683.01624820	-0.07297752
-682.98291497	-0.11583302
-682.94958173	-0.15089228
-682.91624849	-0.17631823
-682.88291525	-0.19242384
-682.84958202	-0.20139656
-682.81624878	-0.20647792
-682.78291554	-0.20903969
-682.74958230	-0.20863639
-682.71624907	-0.20351534
-682.68291583	-0.19002539
-682.64958259	-0.16547687
-682.61624936	-0.12813592
-682.58291612	-0.07773889
-682.54958288	-0.01615441
-682.51624964	0.05371825
-682.48291641	0.12772274
-682.44958317	0.20176113
-682.41624993	0.27184182
-682.38291669	0.33418982
-682.34958346	0.38551725
-682.31625022	0.42190710
-682.28291698	0.43972218
-682.24958375	0.43493340
-682.21625051	0.40488829
-682.18291727	0.34852500
-682.14958403	0.26779859
-682.11625080	0.16728878
-682.08291756	0.05499788
-682.04958432	-0.05851989
-682.01625108	-0.16270278
-681.98291785	-0.24770241
-681.94958461	-0.30693450
-681.91625137	-0.33698566
-681.88291814	-0.33676928
-681.84958490	-0.30749166
-681.81625166	-0.25250115
-681.78291842	-0.17765378
-681.74958519	-0.09204088
-681.71625195	-0.00748876
-681.68291871	0.06354104
-681.64958547	0.11103900
-681.61625224	0.12935817
-681.58291900	0.11768763
-681.54958576	0.08102700
-681.51625253	0.02608382
-681.48291929	-0.03998252
-681.44958605	-0.11030173
-681.41625281	-0.17837750
-681.38291958	-0.23860590
-681.34958634	-0.28602953
-681.31625310	-0.31654203
-681.28291986	-0.32877315
-681.24958663	-0.32408426
-681.21625339	-0.30479868
-681.18292015	-0.27350180
-681.14958692	-0.23258052
-681.11625368	-0.18311374
-681.08292044	-0.12637492
-681.04958720	-0.06449666
-681.01625397	-0.00077191
-680.98292073	0.06234841
-680.94958749	0.12122159
-680.91625425	0.17266031
-680.88292102	0.21404735
-680.84958778	0.24207885
-680.81625454	0.25400641
-680.78292131	0.24879755
-680.74958807	0.22829282
-680.71625483	0.19769163
-680.68292159	0.16451546
-680.64958836	0.13605971
-680.61625512	0.11797315
-680.58292188	0.11104239
-680.54958864	0.11134357
-680.51625541	0.11265486
-680.48292217	0.10872336
-680.44958893	0.09630114
-680.41625570	0.07647809
-680.38292246	0.05263797
-680.34958922	0.02895389
-680.31625598	0.00755026
-680.28292275	-0.01198120
-680.24958951	-0.03071664
-680.21625627	-0.05011317
-680.18292303	-0.06902129
-680.14958980	-0.08661298
-680.11625656	-0.10289757
-680.08292332	-0.11866600
-680.04959009	-0.13564222
-680.01625685	-0.15531378
-679.98292361	-0.17665324
-679.94959037	-0.19644794
-679.91625714	-0.20991520
-679.88292390	-0.21283485
-679.84959066	-0.20360185
-679.81625742	-0.18296339
-679.78292419	-0.15315289
-679.74959095	-0.11643377
-679.71625771	-0.07510515
-679.68292447	-0.02999777
-679.64959124	0.01725032
-679.61625800	0.06327531
-679.58292476	0.10418943
-679.54959153	0.13648939
-679.51625829	0.15790944
-679.48292505	0.16817596
-679.44959181	0.16834610
-679.41625858	0.15958648
-679.38292534	0.14288356
-679.34959210	0.11859409
-679.31625886	0.08733303
-679.28292563	0.05066714
-679.24959239	0.01244578
-679.21625915	-0.02248683
-679.18292592	-0.04842395
-679.14959268	-0.06126241
-679.11625944	-0.05841118
-679.08292620	-0.04020526
-679.04959297	-0.01090567
-679.01625973	0.02335538
-678.98292649	0.05598468
-678.94959325	0.08198040
-678.91626002	0.09920780
-678.88292678	0.10948021
-678.84959354	0.11598214
-678.81626031	0.12222524
-678.78292707	0.12940878
-678.74959383	0.13585875
-678.71626059	0.13932883
-678.68292736	0.13711744
-678.64959412	0.12898724
-678.61626088	0.11615592
-678.58292764	0.10069229
-678.54959441	0.08413906
-678.51626117	0.06629246
-678.48292793	0.04613938
-678.44959470	0.02306256
-678.41626146	-0.00259087
-678.38292822	-0.02849329
-678.34959498	-0.05210012
-678.31626175	-0.07019101
-678.28292851	-0.08119651
-678.24959527	-0.08549375
-678.21626203	-0.08343184
-678.18292880	-0.07613409
-678.14959556	-0.06341214
-678.11626232	-0.04522915
-678.08292909	-0.02223594
-678.04959585	0.00402325
-678.01626261	0.03003286
