# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -695.40000000 ps, Average over 2000 waveforms. Timestamp: 2023-10-25T15:22:12
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-688.08233726	-0.00805114
-688.04900411	-0.00802878
-688.01567097	-0.00791755
-687.98233782	-0.00769866
-687.94900467	-0.00722134
-687.91567153	-0.00688902
-687.88233838	-0.00642955
-687.84900524	-0.00612059
-687.81567209	-0.00583044
-687.78233894	-0.00563498
-687.74900580	-0.00542774
-687.71567265	-0.00518970
-687.68233950	-0.00513163
-687.64900636	-0.00502651
-687.61567321	-0.00511055
-687.58234007	-0.00527147
-687.54900692	-0.00557934
-687.51567377	-0.00573076
-687.48234063	-0.00604239
-687.44900748	-0.00639227
-687.41567433	-0.00674223
-687.38234119	-0.00690900
-687.34900804	-0.00715542
-687.31567490	-0.00739575
-687.28234175	-0.00753128
-687.24900860	-0.00762014
-687.21567546	-0.00758061
-687.18234231	-0.00754455
-687.14900917	-0.00745109
-687.11567602	-0.00733787
-687.08234287	-0.00712176
-687.04900973	-0.00694413
-687.01567658	-0.00684523
-686.98234343	-0.00652936
-686.94901029	-0.00616829
-686.91567714	-0.00574086
-686.88234400	-0.00535243
-686.84901085	-0.00492805
-686.81567770	-0.00484612
-686.78234456	-0.00474951
-686.74901141	-0.00491496
-686.71567827	-0.00513567
-686.68234512	-0.00559068
-686.64901197	-0.00589976
-686.61567883	-0.00623442
-686.58234568	-0.00649333
-686.54901253	-0.00678095
-686.51567939	-0.00712831
-686.48234624	-0.00738993
-686.44901310	-0.00756244
-686.41567995	-0.00766204
-686.38234680	-0.00763792
-686.34901366	-0.00763741
-686.31568051	-0.00751352
-686.28234737	-0.00729945
-686.24901422	-0.00701144
-686.21568107	-0.00680206
-686.18234793	-0.00642918
-686.14901478	-0.00592668
-686.11568163	-0.00551821
-686.08234849	-0.00503556
-686.04901534	-0.00468224
-686.01568220	-0.00442136
-685.98234905	-0.00433091
-685.94901590	-0.00429947
-685.91568276	-0.00424423
-685.88234961	-0.00437248
-685.84901647	-0.00449144
-685.81568332	-0.00476592
-685.78235017	-0.00523964
-685.74901703	-0.00566968
-685.71568388	-0.00601891
-685.68235073	-0.00626711
-685.64901759	-0.00662529
-685.61568444	-0.00676429
-685.58235130	-0.00699097
-685.54901815	-0.00709731
-685.51568500	-0.00746628
-685.48235186	-0.00777358
-685.44901871	-0.00807292
-685.41568557	-0.00850204
-685.38235242	-0.00907787
-685.34901927	-0.00981298
-685.31568613	-0.01074448
-685.28235298	-0.01185908
-685.24901983	-0.01322055
-685.21568669	-0.01480379
-685.18235354	-0.01660257
-685.14902040	-0.01839042
-685.11568725	-0.02031006
-685.08235410	-0.02244138
-685.04902096	-0.02436732
