# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -695.40000000 ps, Average over 5000 waveforms. Timestamp: 2023-10-25T15:18:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-687.68233950	0.00522256
-687.64900636	0.00524463
-687.61567321	0.00522594
-687.58234007	0.00527545
-687.54900692	0.00528430
-687.51567377	0.00532231
-687.48234063	0.00533366
-687.44900748	0.00540141
-687.41567433	0.00549723
-687.38234119	0.00554968
-687.34900804	0.00562138
-687.31567490	0.00578333
-687.28234175	0.00588630
-687.24900860	0.00603061
-687.21567546	0.00615970
-687.18234231	0.00626338
-687.14900917	0.00652959
-687.11567602	0.00660716
-687.08234287	0.00680434
-687.04900973	0.00693307
-687.01567658	0.00701930
-686.98234343	0.00714305
-686.94901029	0.00716540
-686.91567714	0.00722779
-686.88234400	0.00727404
-686.84901085	0.00730568
-686.81567770	0.00719698
-686.78234456	0.00720650
-686.74901141	0.00721135
-686.71567827	0.00719166
-686.68234512	0.00710538
-686.64901197	0.00704081
-686.61567883	0.00700434
-686.58234568	0.00693117
-686.54901253	0.00687638
-686.51567939	0.00679311
-686.48234624	0.00664935
-686.44901310	0.00655249
-686.41567995	0.00637843
-686.38234680	0.00615811
-686.34901366	0.00578453
-686.31568051	0.00532857
-686.28234737	0.00465170
-686.24901422	0.00382233
-686.21568107	0.00285625
-686.18234793	0.00169053
-686.14901478	0.00033938
-686.11568163	-0.00113879
-686.08234849	-0.00273972
-686.04901534	-0.00444454
-686.01568220	-0.00622629
-685.98234905	-0.00806644
-685.94901590	-0.00967037
-685.91568276	-0.01117944
-685.88234961	-0.01235259
-685.84901647	-0.01295064
-685.81568332	-0.01280717
-685.78235017	-0.01172569
-685.74901703	-0.00954343
-685.71568388	-0.00630164
-685.68235073	-0.00213092
-685.64901759	0.00287195
-685.61568444	0.00814180
-685.58235130	0.01323532
-685.54901815	0.01763887
-685.51568500	0.02112834
-685.48235186	0.02329508
-685.44901871	0.02418956
-685.41568557	0.02385144
-685.38235242	0.02253541
-685.34901927	0.02063522
-685.31568613	0.01828484
-685.28235298	0.01580279
-685.24901983	0.01335574
-685.21568669	0.01105085
-685.18235354	0.00897467
-685.14902040	0.00737234
-685.11568725	0.00618218
-685.08235410	0.00564403
-685.04902096	0.00560007
-685.01568781	0.00601022
-684.98235466	0.00671028
-684.94902152	0.00757270
-684.91568837	0.00852065
-684.88235523	0.00960155
-684.84902208	0.01079198
-684.81568893	0.01207838
-684.78235579	0.01351693
-684.74902264	0.01491148
-684.71568950	0.01629099
-684.68235635	0.01740783
-684.64902320	0.01862537
-684.61569006	0.01973921
-684.58235691	0.02093517
-684.54902376	0.02232780
-684.51569062	0.02391666
-684.48235747	0.02563750
-684.44902433	0.02751896
-684.41569118	0.02976305
-684.38235803	0.03219136
-684.34902489	0.03491491
-684.31569174	0.03794100
-684.28235860	0.04140860
-684.24902545	0.04504361
-684.21569230	0.04907259
-684.18235916	0.05334240
-684.14902601	0.05802524
-684.11569286	0.06289536
-684.08235972	0.06815894
-684.04902657	0.07367604
-684.01569343	0.07969254
-683.98236028	0.08597250
-683.94902713	0.09275911
-683.91569399	0.10001886
-683.88236084	0.10773517
-683.84902770	0.11603888
-683.81569455	0.12496924
-683.78236140	0.13464354
-683.74902826	0.14493950
-683.71569511	0.15604540
-683.68236196	0.16809616
-683.64902882	0.18095360
-683.61569567	0.19486877
-683.58236253	0.20984331
-683.54902938	0.22590860
-683.51569623	0.24302643
-683.48236309	0.26146921
-683.44902994	0.28109775
-683.41569680	0.30184017
-683.38236365	0.32361578
-683.34903050	0.34618421
-683.31569736	0.36910851
-683.28236421	0.39183739
-683.24903106	0.41355260
-683.21569792	0.43316470
-683.18236477	0.44894926
-683.14903163	0.45930379
-683.11569848	0.46164335
-683.08236533	0.45326246
-683.04903219	0.43132871
-683.01569904	0.39254818
-682.98236590	0.33357326
-682.94903275	0.25119487
-682.91569960	0.14298215
-682.88236646	0.00694761
-682.84903331	-0.15824413
-682.81570016	-0.35317343
-682.78236702	-0.57739709
-682.74903387	-0.82954665
-682.71570073	-1.10835766
-682.68236758	-1.41104092
-682.64903443	-1.73305015
-682.61570129	-2.06787682
-682.58236814	-2.40628610
-682.54903499	-2.73435153
-682.51570185	-3.03308385
-682.48236870	-3.27740806
-682.44903556	-3.43856017
-682.41570241	-3.48523523
-682.38236926	-3.38920619
-682.34903612	-3.13230228
-682.31570297	-2.71164388
-682.28236983	-2.14413920
-682.24903668	-1.46657637
-682.21570353	-0.73077750
-682.18237039	0.00740277
-682.14903724	0.69433379
-682.11570409	1.28613601
-682.08237095	1.75474334
-682.04903780	2.08843184
-682.01570466	2.28913055
-681.98237151	2.36921150
-681.94903836	2.34690773
-681.91570522	2.24120919
-681.88237207	2.06895603
-681.84903893	1.84672110
-681.81570578	1.59144476
-681.78237263	1.32172645
-681.74903949	1.05744581
-681.71570634	0.81693474
-681.68237319	0.61238796
-681.64904005	0.44716353
-681.61570690	0.31760360
-681.58237376	0.21611167
-681.54904061	0.13650932
-681.51570746	0.07716052
-681.48237432	0.04015296
-681.44904117	0.02725964
-681.41570803	0.03591882
-681.38237488	0.05733847
-681.34904173	0.07986359
-681.31570859	0.09312671
-681.28237544	0.09306787
-681.24904229	0.08205426
-681.21570915	0.06578613
-681.18237600	0.04940187
-681.14904286	0.03436720
-681.11570971	0.01895065
-681.08237656	0.00147635
-681.04904342	-0.01760078
-681.01571027	-0.03510036
-680.98237713	-0.04709245
-680.94904398	-0.05116583
-680.91571083	-0.04705841
-680.88237769	-0.03666654
-680.84904454	-0.02222160
-680.81571139	-0.00538743
-680.78237825	0.01231779
-680.74904510	0.02912640
-680.71571196	0.04287139
-680.68237881	0.05170897
-680.64904566	0.05491368
-680.61571252	0.05294658
-680.58237937	0.04708574
-680.54904622	0.03869593
-680.51571308	0.02892719
-680.48237993	0.01869408
-680.44904679	0.00866958
-680.41571364	-0.00035356
-680.38238049	-0.00765106
-680.34904735	-0.01293043
-680.31571420	-0.01604623
-680.28238106	-0.01678339
-680.24904791	-0.01531317
-680.21571476	-0.01265617
-680.18238162	-0.00964035
-680.14904847	-0.00708198
-680.11571532	-0.00490413
-680.08238218	-0.00300846
-680.04904903	-0.00089286
-680.01571589	0.00114488
-679.98238274	0.00239261
-679.94904959	0.00252839
-679.91571645	0.00211517
-679.88238330	0.00214451
-679.84905016	0.00317322
-679.81571701	0.00489193
-679.78238386	0.00620436
-679.74905072	0.00631594
-679.71571757	0.00509947
-679.68238442	0.00313882
-679.64905128	0.00126938
-679.61571813	0.00000831
-679.58238499	-0.00057329
-679.54905184	-0.00088206
-679.51571869	-0.00119441
-679.48238555	-0.00199659
-679.44905240	-0.00329339
-679.41571926	-0.00508301
-679.38238611	-0.00713515
-679.34905296	-0.00912321
-679.31571982	-0.01131667
-679.28238667	-0.01398189
-679.24905352	-0.01729539
-679.21572038	-0.02116366
-679.18238723	-0.02455930
-679.14905409	-0.02616504
-679.11572094	-0.02490007
-679.08238779	-0.02065311
-679.04905465	-0.01400187
-679.01572150	-0.00597342
-678.98238836	0.00288060
-678.94905521	0.01247916
-678.91572206	0.02301911
-678.88238892	0.03417732
-678.84905577	0.04541842
-678.81572262	0.05560324
-678.78238948	0.06353003
