# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -695.40000000 ps, Average over 10000 waveforms. Timestamp: 2023-10-25T15:43:57
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-687.98289031	-0.00092552
-687.94955708	-0.00095514
-687.91622385	-0.00105142
-687.88289062	-0.00121711
-687.84955739	-0.00146514
-687.81622415	-0.00175937
-687.78289092	-0.00217522
-687.74955769	-0.00264469
-687.71622446	-0.00324858
-687.68289123	-0.00373672
-687.64955800	-0.00429248
-687.61622476	-0.00480950
-687.58289153	-0.00525629
-687.54955830	-0.00561935
-687.51622507	-0.00588410
-687.48289184	-0.00602490
-687.44955861	-0.00613493
-687.41622537	-0.00602280
-687.38289214	-0.00587376
-687.34955891	-0.00557137
-687.31622568	-0.00514283
-687.28289245	-0.00462143
-687.24955922	-0.00388780
-687.21622598	-0.00312541
-687.18289275	-0.00226467
-687.14955952	-0.00137743
-687.11622629	-0.00048742
-687.08289306	0.00038208
-687.04955983	0.00111298
-687.01622659	0.00164934
-686.98289336	0.00203379
-686.94956013	0.00218060
-686.91622690	0.00217182
-686.88289367	0.00197873
-686.84956043	0.00163928
-686.81622720	0.00121213
-686.78289397	0.00073817
-686.74956074	0.00030514
-686.71622751	-0.00005574
-686.68289428	-0.00046188
-686.64956104	-0.00073301
-686.61622781	-0.00096608
-686.58289458	-0.00108193
-686.54956135	-0.00121318
-686.51622812	-0.00127465
-686.48289489	-0.00134122
-686.44956165	-0.00136459
-686.41622842	-0.00138973
-686.38289519	-0.00142924
-686.34956196	-0.00141626
-686.31622873	-0.00143474
-686.28289550	-0.00144823
-686.24956226	-0.00141215
-686.21622903	-0.00136105
-686.18289580	-0.00126655
-686.14956257	-0.00118627
-686.11622934	-0.00104509
-686.08289611	-0.00092457
-686.04956287	-0.00077005
-686.01622964	-0.00071940
-685.98289641	-0.00065711
-685.94956318	-0.00064844
-685.91622995	-0.00064506
-685.88289671	-0.00062630
-685.84956348	-0.00064296
-685.81623025	-0.00065432
-685.78289702	-0.00067549
-685.74956379	-0.00069636
-685.71623056	-0.00067309
-685.68289732	-0.00066557
-685.64956409	-0.00075717
-685.61623086	-0.00081625
-685.58289763	-0.00092849
-685.54956440	-0.00104470
-685.51623117	-0.00113056
-685.48289793	-0.00125197
-685.44956470	-0.00137020
-685.41623147	-0.00140625
-685.38289824	-0.00145825
-685.34956501	-0.00145029
-685.31623178	-0.00146183
-685.28289854	-0.00142642
-685.24956531	-0.00140225
-685.21623208	-0.00136383
