# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T14:39:57
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-702.81620051	-0.00060651
-702.78286718	-0.00020957
-702.74953384	0.00020373
-702.71620051	0.00054654
-702.68286718	0.00089831
-702.64953385	0.00135958
-702.61620051	0.00181640
-702.58286718	0.00212312
-702.54953385	0.00249763
-702.51620051	0.00276598
-702.48286718	0.00306191
-702.44953385	0.00325638
-702.41620051	0.00347895
-702.38286718	0.00353733
-702.34953385	0.00359822
-702.31620051	0.00357766
-702.28286718	0.00343858
-702.24953385	0.00329767
-702.21620052	0.00297650
-702.18286718	0.00272031
-702.14953385	0.00232048
-702.11620052	0.00192169
-702.08286718	0.00129403
-702.04953385	0.00074801
-702.01620052	0.00011782
-701.98286718	-0.00052145
-701.94953385	-0.00116602
-701.91620052	-0.00177624
-701.88286718	-0.00240044
-701.84953385	-0.00300655
-701.81620052	-0.00347948
-701.78286719	-0.00404727
-701.74953385	-0.00443504
-701.71620052	-0.00473736
-701.68286719	-0.00502623
-701.64953385	-0.00518437
-701.61620052	-0.00521398
-701.58286719	-0.00520395
-701.54953385	-0.00503354
-701.51620052	-0.00477613
-701.48286719	-0.00441194
-701.44953385	-0.00397089
-701.41620052	-0.00344170
-701.38286719	-0.00277548
-701.34953386	-0.00213013
-701.31620052	-0.00150878
-701.28286719	-0.00076699
-701.24953386	-0.00011754
-701.21620052	0.00047596
-701.18286719	0.00117933
-701.14953386	0.00168556
-701.11620052	0.00216661
-701.08286719	0.00252127
-701.04953386	0.00277027
-701.01620052	0.00300726
-700.98286719	0.00307634
-700.94953386	0.00300476
-700.91620053	0.00288686
-700.88286719	0.00264389
-700.84953386	0.00216254
-700.81620053	0.00172198
-700.78286719	0.00120991
-700.74953386	0.00067660
-700.71620053	0.00001421
-700.68286719	-0.00061917
-700.64953386	-0.00124841
-700.61620053	-0.00187036
-700.58286719	-0.00246955
-700.54953386	-0.00294185
-700.51620053	-0.00338510
-700.48286720	-0.00363868
-700.44953386	-0.00385978
-700.41620053	-0.00399332
-700.38286720	-0.00405088
-700.34953386	-0.00388599
-700.31620053	-0.00373807
-700.28286720	-0.00343432
-700.24953386	-0.00303962
-700.21620053	-0.00259926
-700.18286720	-0.00203235
-700.14953386	-0.00156272
-700.11620053	-0.00101372
-700.08286720	-0.00045957
-700.04953387	0.00003250
-700.01620053	0.00047912
-699.98286720	0.00087228
-699.94953387	0.00121408
-699.91620053	0.00145945
-699.88286720	0.00161818
-699.84953387	0.00166723
-699.81620053	0.00157183
-699.78286720	0.00154697
-699.74953387	0.00128099
-699.71620053	0.00093247
-699.68286720	0.00063619
-699.64953387	0.00024516
-699.61620054	-0.00020215
-699.58286720	-0.00057214
-699.54953387	-0.00098375
-699.51620054	-0.00134226
-699.48286720	-0.00159358
-699.44953387	-0.00191781
-699.41620054	-0.00206692
-699.38286720	-0.00223060
-699.34953387	-0.00226297
-699.31620054	-0.00217965
-699.28286721	-0.00212643
-699.24953387	-0.00190149
-699.21620054	-0.00171776
-699.18286721	-0.00145789
-699.14953387	-0.00117253
-699.11620054	-0.00089072
-699.08286721	-0.00063614
-699.04953387	-0.00039680
-699.01620054	-0.00017721
-698.98286721	-0.00009432
-698.94953387	0.00000702
-698.91620054	-0.00002576
-698.88286721	-0.00008756
-698.84953388	-0.00014987
-698.81620054	-0.00039182
-698.78286721	-0.00065002
-698.74953388	-0.00099753
-698.71620054	-0.00126718
-698.68286721	-0.00159985
-698.64953388	-0.00202531
-698.61620054	-0.00236191
-698.58286721	-0.00261535
-698.54953388	-0.00284633
-698.51620054	-0.00296215
-698.48286721	-0.00300032
-698.44953388	-0.00304157
-698.41620055	-0.00301223
-698.38286721	-0.00277236
-698.34953388	-0.00253192
-698.31620055	-0.00220314
-698.28286721	-0.00183425
-698.24953388	-0.00139309
-698.21620055	-0.00091573
